	S2-103v3	S4-106v3	S6-109v3	S8-111v3	S10-117v3	S12-118v3	S14-122v3	S16-202v3	S20-304v3	S22-305v3	S24-309v3	S26-311v3	S28-315v3	S30-316v3	S32-321v3	S34-322v3	S36-401v3	S38-404v3	S40-408v3	S42-413v3	S1-103v1	S3-106v1	S5-109v1	S7-111v1	S9-117v1	S11-118v1	S13-122v1	S15-202v1	S19-304v1	S21-305v1	S23-309v1	S27-315v1	S31-321v1	S33-322v1	S35-401v1	S37-404v1	S39-408v1	S41-413v1
k__Bacteria_Other_Other_Other_Other	0.0	5.26315789474e-05	7.36842105263e-05	0.0	0.00431578947368	0.000189473684211	0.000957894736842	2.10526315789e-05	0.00276842105263	0.0004	6.31578947368e-05	0.0	0.00412631578947	2.10526315789e-05	0.00106315789474	0.00223157894737	0.000621052631579	0.00175789473684	0.00103157894737	0.000768421052632	0.0	0.000231578947368	5.26315789474e-05	0.0	0.00329473684211	0.000252631578947	0.000357894736842	5.26315789474e-05	0.00155789473684	0.000231578947368	6.31578947368e-05	0.00555789473684	0.0	0.0016	0.000115789473684	0.000442105263158	0.000389473684211	0.00222105263158
k__Bacteria_Other_Other_Other_Other_Other	0.0	5.26315789474e-05	7.36842105263e-05	0.0	0.00431578947368	0.000189473684211	0.000957894736842	2.10526315789e-05	0.00276842105263	0.0004	6.31578947368e-05	0.0	0.00412631578947	2.10526315789e-05	0.00106315789474	0.00223157894737	0.000621052631579	0.00175789473684	0.00103157894737	0.000768421052632	0.0	0.000231578947368	5.26315789474e-05	0.0	0.00329473684211	0.000252631578947	0.000357894736842	5.26315789474e-05	0.00155789473684	0.000231578947368	6.31578947368e-05	0.00555789473684	0.0	0.0016	0.000115789473684	0.000442105263158	0.000389473684211	0.00222105263158
k__Bacteria_p__Actinobacteria	0.0108421052632	0.0406947368421	0.0374315789474	0.00141052631579	0.0159052631579	0.0167157894737	0.0118105263158	0.0271894736842	0.0145368421053	0.0225052631579	0.0390526315789	0.0314736842105	0.0066	0.0278631578947	0.00363157894737	0.0194736842105	0.0382421052632	0.00517894736842	0.0143789473684	0.000747368421053	0.0261052631579	0.0516526315789	0.0297684210526	0.00488421052632	0.0237157894737	0.00727368421053	0.0137263157895	0.00897894736842	0.0323789473684	0.0302	0.0212842105263	0.00513684210526	0.0109052631579	0.0448421052632	0.0808947368421	0.0111157894737	0.0300736842105	0.00370526315789
k__Bacteria_p__Actinobacteria_Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10526315789e-05	0.0	0.0
k__Bacteria_p__Actinobacteria_Other_Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10526315789e-05	0.0	0.0
k__Bacteria_p__Actinobacteria_Other_Other_Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10526315789e-05	0.0	0.0
k__Bacteria_p__Actinobacteria_Other_Other_Other_Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10526315789e-05	0.0	0.0
k__Bacteria_p__Actinobacteria_c__Actinobacteria	0.00934736842105	0.00645263157895	0.0332210526316	0.000315789473684	0.00713684210526	0.00827368421053	0.00348421052632	0.0123473684211	0.00309473684211	0.00438947368421	0.0199263157895	0.0242315789474	0.00103157894737	0.0262842105263	0.00137894736842	0.00511578947368	0.0264315789474	0.00121052631579	0.00329473684211	3.15789473684e-05	0.0254736842105	0.00702105263158	0.0249789473684	0.00361052631579	0.0107368421053	0.00230526315789	0.00623157894737	0.00412631578947	0.0218947368421	0.00984210526316	0.00903157894737	0.00125263157895	0.0074	0.0259263157895	0.0602315789474	0.00395789473684	0.0137578947368	0.00287368421053
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales	0.000189473684211	0.000421052631579	8.42105263158e-05	6.31578947368e-05	0.000178947368421	9.47368421053e-05	0.000168421052632	0.00141052631579	0.000315789473684	0.000431578947368	0.000273684210526	0.0002	0.000252631578947	6.31578947368e-05	0.000115789473684	0.000389473684211	0.000284210526316	0.000136842105263	9.47368421053e-05	1.05263157895e-05	0.000336842105263	0.000484210526316	0.000231578947368	0.000273684210526	0.000189473684211	7.36842105263e-05	0.000157894736842	0.000294736842105	0.000157894736842	0.000578947368421	0.000115789473684	7.36842105263e-05	0.00222105263158	0.000242105263158	0.000410526315789	0.0002	0.000178947368421	0.000105263157895
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_Other_Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae	0.000189473684211	0.0004	6.31578947368e-05	6.31578947368e-05	0.000126315789474	8.42105263158e-05	0.000147368421053	0.00103157894737	0.000284210526316	0.000410526315789	0.000210526315789	0.000168421052632	0.000147368421053	5.26315789474e-05	5.26315789474e-05	0.000231578947368	0.000263157894737	0.000105263157895	9.47368421053e-05	1.05263157895e-05	0.000284210526316	0.000463157894737	0.000210526315789	0.000252631578947	0.000168421052632	5.26315789474e-05	0.000126315789474	0.000126315789474	0.000136842105263	0.000547368421053	0.000115789473684	3.15789473684e-05	9.47368421053e-05	0.000147368421053	0.000326315789474	0.000157894736842	0.000168421052632	9.47368421053e-05
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_g__	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	2.10526315789e-05	0.0	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	2.10526315789e-05	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_g__Actinobaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_g__Actinomyces	0.000189473684211	0.0004	4.21052631579e-05	6.31578947368e-05	0.000126315789474	8.42105263158e-05	0.000147368421053	0.00101052631579	0.000273684210526	0.000410526315789	0.000210526315789	0.000168421052632	0.000136842105263	5.26315789474e-05	5.26315789474e-05	0.000231578947368	0.000263157894737	0.000105263157895	9.47368421053e-05	1.05263157895e-05	0.000273684210526	0.000463157894737	0.000210526315789	0.000242105263158	0.000168421052632	5.26315789474e-05	0.000126315789474	0.000126315789474	0.000136842105263	0.000526315789474	0.000115789473684	2.10526315789e-05	9.47368421053e-05	0.000147368421053	0.000326315789474	0.000157894736842	0.000168421052632	5.26315789474e-05
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_g__Mobiluncus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_g__Varibaculum	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.21052631579e-05
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Corynebacteriaceae	0.0	0.0	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	1.05263157895e-05	0.0	1.05263157895e-05	0.0	1.05263157895e-05	0.0	0.0	1.05263157895e-05	1.05263157895e-05	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	2.10526315789e-05	1.05263157895e-05	2.10526315789e-05	0.0	1.05263157895e-05	0.0	0.0	0.0	0.00207368421053	0.0	2.10526315789e-05	0.0	1.05263157895e-05	1.05263157895e-05
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Corynebacteriaceae_g__Corynebacterium	0.0	0.0	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	1.05263157895e-05	0.0	1.05263157895e-05	0.0	1.05263157895e-05	0.0	0.0	1.05263157895e-05	1.05263157895e-05	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	2.10526315789e-05	1.05263157895e-05	2.10526315789e-05	0.0	1.05263157895e-05	0.0	0.0	0.0	0.00207368421053	0.0	2.10526315789e-05	0.0	1.05263157895e-05	1.05263157895e-05
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Micrococcaceae	0.0	2.10526315789e-05	1.05263157895e-05	0.0	5.26315789474e-05	0.0	1.05263157895e-05	0.000368421052632	2.10526315789e-05	0.0	1.05263157895e-05	1.05263157895e-05	7.36842105263e-05	1.05263157895e-05	0.0	0.000147368421053	0.0	3.15789473684e-05	0.0	0.0	4.21052631579e-05	0.0	2.10526315789e-05	2.10526315789e-05	0.0	1.05263157895e-05	0.0	0.000168421052632	1.05263157895e-05	1.05263157895e-05	0.0	1.05263157895e-05	1.05263157895e-05	9.47368421053e-05	4.21052631579e-05	3.15789473684e-05	0.0	0.0
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Micrococcaceae_g__Rothia	0.0	2.10526315789e-05	1.05263157895e-05	0.0	5.26315789474e-05	0.0	1.05263157895e-05	0.000368421052632	2.10526315789e-05	0.0	1.05263157895e-05	1.05263157895e-05	7.36842105263e-05	1.05263157895e-05	0.0	0.000147368421053	0.0	3.15789473684e-05	0.0	0.0	4.21052631579e-05	0.0	2.10526315789e-05	2.10526315789e-05	0.0	1.05263157895e-05	0.0	0.000168421052632	1.05263157895e-05	1.05263157895e-05	0.0	1.05263157895e-05	1.05263157895e-05	9.47368421053e-05	4.21052631579e-05	3.15789473684e-05	0.0	0.0
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Propionibacteriaceae	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	1.05263157895e-05	1.05263157895e-05	0.0	2.10526315789e-05	4.21052631579e-05	2.10526315789e-05	2.10526315789e-05	0.0	6.31578947368e-05	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	2.10526315789e-05	0.0	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	2.10526315789e-05	0.0	3.15789473684e-05	4.21052631579e-05	0.0	2.10526315789e-05	1.05263157895e-05	0.0	0.0
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Propionibacteriaceae_g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.31578947368e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	1.05263157895e-05	0.0	0.0
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Propionibacteriaceae_g__Propionibacterium	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	1.05263157895e-05	1.05263157895e-05	0.0	2.10526315789e-05	4.21052631579e-05	2.10526315789e-05	2.10526315789e-05	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	2.10526315789e-05	0.0	3.15789473684e-05	3.15789473684e-05	0.0	2.10526315789e-05	0.0	0.0	0.0
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales	0.00915789473684	0.00603157894737	0.0331368421053	0.000252631578947	0.00695789473684	0.00817894736842	0.00331578947368	0.0109368421053	0.00277894736842	0.00395789473684	0.0196526315789	0.0240315789474	0.000778947368421	0.0262210526316	0.00126315789474	0.00472631578947	0.0261473684211	0.00107368421053	0.0032	2.10526315789e-05	0.0251368421053	0.00653684210526	0.0247473684211	0.00333684210526	0.0105473684211	0.00223157894737	0.00607368421053	0.00383157894737	0.0217368421053	0.00926315789474	0.00891578947368	0.00117894736842	0.00517894736842	0.0256842105263	0.0598210526316	0.00375789473684	0.0135789473684	0.00276842105263
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae	0.00915789473684	0.00603157894737	0.0331368421053	0.000252631578947	0.00695789473684	0.00817894736842	0.00331578947368	0.0109368421053	0.00277894736842	0.00395789473684	0.0196526315789	0.0240315789474	0.000778947368421	0.0262210526316	0.00126315789474	0.00472631578947	0.0261473684211	0.00107368421053	0.0032	2.10526315789e-05	0.0251368421053	0.00653684210526	0.0247473684211	0.00333684210526	0.0105473684211	0.00223157894737	0.00607368421053	0.00383157894737	0.0217368421053	0.00926315789474	0.00891578947368	0.00117894736842	0.00517894736842	0.0256842105263	0.0598210526316	0.00375789473684	0.0135789473684	0.00276842105263
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_Other	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.26315789474e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05263157895e-05
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Alloscardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05263157895e-05	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium	0.00914736842105	0.00603157894737	0.0331263157895	0.000252631578947	0.00695789473684	0.00817894736842	0.00331578947368	0.0109263157895	0.00271578947368	0.00395789473684	0.0196526315789	0.0240315789474	0.000778947368421	0.0262210526316	0.00126315789474	0.00470526315789	0.0261263157895	0.00107368421053	0.0032	0.0	0.0251263157895	0.00653684210526	0.0247368421053	0.00333684210526	0.0105368421053	0.00222105263158	0.00607368421053	0.00383157894737	0.0217368421053	0.00926315789474	0.00891578947368	0.00117894736842	0.00517894736842	0.0256736842105	0.0598210526316	0.00375789473684	0.0135789473684	0.00272631578947
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Gardnerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10526315789e-05
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Scardovia	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10526315789e-05	1.05263157895e-05	0.0	0.0	2.10526315789e-05	0.0	0.0	1.05263157895e-05	0.0	1.05263157895e-05	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	1.05263157895e-05
k__Bacteria_p__Actinobacteria_c__Coriobacteriia	0.00149473684211	0.0342421052632	0.00421052631579	0.00109473684211	0.00876842105263	0.00844210526316	0.00832631578947	0.0148421052632	0.0114421052632	0.0181157894737	0.0191263157895	0.00724210526316	0.00556842105263	0.00157894736842	0.00225263157895	0.0143578947368	0.0118105263158	0.00396842105263	0.0110842105263	0.000715789473684	0.000631578947368	0.0446315789474	0.00478947368421	0.00127368421053	0.0129789473684	0.00496842105263	0.00749473684211	0.00485263157895	0.0104842105263	0.0203578947368	0.0122526315789	0.00388421052632	0.00350526315789	0.0189157894737	0.0206631578947	0.00713684210526	0.0163157894737	0.000831578947368
k__Bacteria_p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales	0.00149473684211	0.0342421052632	0.00421052631579	0.00109473684211	0.00876842105263	0.00844210526316	0.00832631578947	0.0148421052632	0.0114421052632	0.0181157894737	0.0191263157895	0.00724210526316	0.00556842105263	0.00157894736842	0.00225263157895	0.0143578947368	0.0118105263158	0.00396842105263	0.0110842105263	0.000715789473684	0.000631578947368	0.0446315789474	0.00478947368421	0.00127368421053	0.0129789473684	0.00496842105263	0.00749473684211	0.00485263157895	0.0104842105263	0.0203578947368	0.0122526315789	0.00388421052632	0.00350526315789	0.0189157894737	0.0206631578947	0.00713684210526	0.0163157894737	0.000831578947368
k__Bacteria_p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales_f__Coriobacteriaceae	0.00149473684211	0.0342421052632	0.00421052631579	0.00109473684211	0.00876842105263	0.00844210526316	0.00832631578947	0.0148421052632	0.0114421052632	0.0181157894737	0.0191263157895	0.00724210526316	0.00556842105263	0.00157894736842	0.00225263157895	0.0143578947368	0.0118105263158	0.00396842105263	0.0110842105263	0.000715789473684	0.000631578947368	0.0446315789474	0.00478947368421	0.00127368421053	0.0129789473684	0.00496842105263	0.00749473684211	0.00485263157895	0.0104842105263	0.0203578947368	0.0122526315789	0.00388421052632	0.00350526315789	0.0189157894737	0.0206631578947	0.00713684210526	0.0163157894737	0.000831578947368
k__Bacteria_p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales_f__Coriobacteriaceae_Other	0.0	0.000389473684211	4.21052631579e-05	0.0	0.0	0.000105263157895	2.10526315789e-05	9.47368421053e-05	3.15789473684e-05	4.21052631579e-05	5.26315789474e-05	0.0	4.21052631579e-05	8.42105263158e-05	0.000336842105263	0.000305263157895	4.21052631579e-05	5.26315789474e-05	2.10526315789e-05	3.15789473684e-05	0.0	0.000747368421053	0.000115789473684	0.0	5.26315789474e-05	1.05263157895e-05	1.05263157895e-05	9.47368421053e-05	4.21052631579e-05	4.21052631579e-05	1.05263157895e-05	3.15789473684e-05	0.000368421052632	3.15789473684e-05	3.15789473684e-05	7.36842105263e-05	5.26315789474e-05	0.000147368421053
k__Bacteria_p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales_f__Coriobacteriaceae_g__	1.05263157895e-05	0.00842105263158	0.00130526315789	0.000315789473684	0.00310526315789	0.00303157894737	0.00318947368421	0.00578947368421	0.00715789473684	0.00629473684211	0.00515789473684	0.00129473684211	0.00334736842105	0.000252631578947	0.000252631578947	0.00568421052632	9.47368421053e-05	0.00194736842105	0.00195789473684	4.21052631579e-05	1.05263157895e-05	0.00566315789474	0.00195789473684	0.0004	0.00328421052632	0.000905263157895	0.000947368421053	0.00164210526316	0.00498947368421	0.00294736842105	0.00274736842105	0.00144210526316	0.00171578947368	0.00476842105263	0.000168421052632	0.00409473684211	0.00395789473684	0.000231578947368
