	S2-103v3	S4-106v3	S6-109v3	S8-111v3	S10-117v3	S12-118v3	S14-122v3	S16-202v3	S20-304v3	S22-305v3	S24-309v3	S26-311v3	S28-315v3	S30-316v3	S32-321v3	S34-322v3	S36-401v3	S38-404v3	S40-408v3	S42-413v3	S86-101V3	S92-108v3	S94-113v3	S96-114v3	S98-120v3	S100-203v3	S102-207v3	S104-301v3	S108-310v3	S110-314v3	S114-319v3	S116-403v3	S118-405v3	S120-410v3	S122-411v3	S124-416v3
k__Bacteria_p__Actinobacteria_Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.15789473684e-05
k__Bacteria_p__Actinobacteria_c__Actinobacteria	0.00934736842105	0.00645263157895	0.0332210526316	0.000315789473684	0.00713684210526	0.00827368421053	0.00348421052632	0.0123473684211	0.00309473684211	0.00438947368421	0.0199263157895	0.0242315789474	0.00103157894737	0.0262842105263	0.00137894736842	0.00511578947368	0.0264315789474	0.00121052631579	0.00329473684211	3.15789473684e-05	0.0831368421053	0.000621052631579	0.0687894736842	0.0250105263158	0.0254736842105	0.0216315789474	0.0463263157895	0.0128	0.00510526315789	0.00621052631579	0.00761052631579	0.00961052631579	0.0369052631579	0.00769473684211	0.00496842105263	0.0633368421053
k__Bacteria_p__Actinobacteria_c__Coriobacteriia	0.00149473684211	0.0342421052632	0.00421052631579	0.00109473684211	0.00876842105263	0.00844210526316	0.00832631578947	0.0148421052632	0.0114421052632	0.0181157894737	0.0191263157895	0.00724210526316	0.00556842105263	0.00157894736842	0.00225263157895	0.0143578947368	0.0118105263158	0.00396842105263	0.0110842105263	0.000715789473684	0.0334315789474	0.0103789473684	0.0198105263158	0.0199684210526	0.0282315789474	0.00228421052632	0.00617894736842	0.0115578947368	0.0284842105263	0.0413684210526	0.00111578947368	0.00570526315789	0.0158	0.0151052631579	0.00257894736842	0.0114526315789
k__Bacteria_p__Bacteroidetes_Other	0.0	0.0	0.0	0.0	0.000336842105263	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.000431578947368	0.0	0.000421052631579	6.31578947368e-05	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000578947368421
k__Bacteria_p__Bacteroidetes_c__Bacteroidia	0.358894736842	0.1756	0.191315789474	0.0840842105263	0.336368421053	0.156168421053	0.246610526316	0.0868210526316	0.180336842105	0.0816947368421	0.254189473684	0.287884210526	0.312084210526	0.274894736842	0.250715789474	0.199715789474	0.151357894737	0.343705263158	0.225863157895	0.377894736842	0.0527578947368	0.509452631579	0.195147368421	0.336389473684	0.0949052631579	0.0683894736842	0.163715789474	0.410894736842	0.213526315789	0.239126315789	0.184210526316	0.118547368421	0.114505263158	0.207978947368	0.0488210526316	0.273094736842
k__Bacteria_p__Cyanobacteria_c__4C0d-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.36842105263e-05	0.00308421052632	0.0	0.0	0.0	0.0	0.0	0.000631578947368	0.0	0.0	0.0	0.000315789473684	0.0002	0.0	0.0	0.000484210526316	0.0	0.0	0.000694736842105	0.0	0.0	0.000705263157895	0.0	0.0	0.0	7.36842105263e-05	0.000210526315789	0.0	0.0
k__Bacteria_p__Cyanobacteria_c__Chloroplast	1.05263157895e-05	0.0	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	2.10526315789e-05	0.0	0.0	8.42105263158e-05	0.0	0.0	1.05263157895e-05	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	1.05263157895e-05	3.15789473684e-05	1.05263157895e-05	0.0	1.05263157895e-05	2.10526315789e-05	1.05263157895e-05	2.10526315789e-05	2.10526315789e-05
k__Bacteria_p__Elusimicrobia_c__Elusimicrobia	0.0	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000115789473684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Firmicutes_Other	0.0	2.10526315789e-05	0.000147368421053	0.0	0.000536842105263	0.00348421052632	0.000410526315789	6.31578947368e-05	0.000863157894737	0.0012	0.000294736842105	0.0	7.36842105263e-05	0.0	0.0	0.00156842105263	0.000105263157895	0.000105263157895	5.26315789474e-05	0.000652631578947	0.0	0.0	9.47368421053e-05	2.10526315789e-05	0.0	3.15789473684e-05	0.0	0.000115789473684	9.47368421053e-05	0.00108421052632	0.0	0.000389473684211	6.31578947368e-05	0.00141052631579	0.00136842105263	0.000505263157895
k__Bacteria_p__Firmicutes_c__Bacilli	0.00277894736842	0.00355789473684	0.00136842105263	0.000894736842105	0.00821052631579	0.00255789473684	0.00124210526316	0.0862105263158	0.00107368421053	0.00324210526316	0.00585263157895	0.0119368421053	0.00158947368421	0.000894736842105	0.00145263157895	0.00971578947368	0.0102631578947	0.0046	0.00667368421053	0.00267368421053	0.0212210526316	0.00144210526316	0.00426315789474	0.00484210526316	0.00185263157895	0.00531578947368	0.00704210526316	0.0193263157895	0.00388421052632	0.0105684210526	0.0288842105263	0.00290526315789	0.00265263157895	0.00503157894737	0.00549473684211	0.00184210526316
k__Bacteria_p__Firmicutes_c__Clostridia	0.615368421053	0.751726315789	0.756526315789	0.904410526316	0.604052631579	0.817610526316	0.722768421053	0.785642105263	0.776473684211	0.848663157895	0.688884210526	0.643736842105	0.652473684211	0.678273684211	0.718157894737	0.747810526316	0.777947368421	0.620684210526	0.728157894737	0.606631578947	0.8008	0.473063157895	0.697242105263	0.594747368421	0.843189473684	0.889610526316	0.763684210526	0.540547368421	0.702052631579	0.668442105263	0.762105263158	0.812105263158	0.826557894737	0.714757894737	0.925589473684	0.639421052632
k__Bacteria_p__Firmicutes_c__Erysipelotrichi	0.00274736842105	0.00543157894737	0.0028	0.00465263157895	0.000515789473684	0.00108421052632	0.00411578947368	0.00597894736842	0.000368421052632	0.00211578947368	0.00112631578947	0.000315789473684	0.00107368421053	0.000189473684211	0.000368421052632	0.0006	0.002	0.000589473684211	0.000873684210526	0.00125263157895	0.00271578947368	0.000378947368421	0.000452631578947	0.000484210526316	0.00283157894737	0.00112631578947	0.00213684210526	0.000284210526316	0.000768421052632	0.00601052631579	0.00105263157895	0.0129789473684	0.000221052631579	0.0014	0.00102105263158	0.00450526315789
k__Bacteria_p__Fusobacteria_c__Fusobacteriia	0.0	0.0	0.0	0.0	2.10526315789e-05	0.0	2.10526315789e-05	4.21052631579e-05	1.05263157895e-05	0.0	0.0	3.15789473684e-05	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10526315789e-05	0.0	1.05263157895e-05	0.0	0.0	0.0	1.05263157895e-05	0.0	3.15789473684e-05	2.10526315789e-05	3.15789473684e-05	0.0	0.0	0.0	1.05263157895e-05	0.0
k__Bacteria_p__Lentisphaerae_c__[Lentisphaeria]	0.0	0.0	0.0	0.0	0.00338947368421	0.0	0.0	0.0	2.10526315789e-05	0.0	0.0	0.0	0.0002	0.0	0.0	7.36842105263e-05	1.05263157895e-05	0.000484210526316	0.000126315789474	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10526315789e-05	0.0	2.10526315789e-05	0.0	0.0
k__Bacteria_p__Proteobacteria_Other	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria	0.0	0.000252631578947	0.0	0.0	0.0	3.15789473684e-05	0.0	4.21052631579e-05	0.00435789473684	0.0	0.0	0.0	0.00335789473684	1.05263157895e-05	0.000147368421053	0.0	0.0	0.000147368421053	6.31578947368e-05	0.0	2.10526315789e-05	0.0	0.0	0.000357894736842	0.0	0.000347368421053	0.0	0.000242105263158	0.00207368421053	0.0	0.0	0.000631578947368	0.0	0.00188421052632	0.0	2.10526315789e-05
k__Bacteria_p__Proteobacteria_c__Betaproteobacteria	0.00889473684211	0.00678947368421	0.00102105263158	0.00253684210526	0.00258947368421	0.000357894736842	0.000915789473684	0.00252631578947	0.00838947368421	0.000726315789474	0.00445263157895	0.00350526315789	0.0112210526316	0.0132736842105	0.0210315789474	0.00630526315789	0.0124105263158	0.00507368421053	0.0116736842105	0.00533684210526	0.00314736842105	0.00276842105263	0.0108947368421	0.00821052631579	0.000136842105263	0.00509473684211	0.0100947368421	0.00297894736842	0.0101578947368	0.00347368421053	0.00533684210526	0.00133684210526	0.00103157894737	5.26315789474e-05	0.000105263157895	0.00151578947368
k__Bacteria_p__Proteobacteria_c__Deltaproteobacteria	0.0	0.000547368421053	0.00144210526316	0.0	0.00137894736842	0.000715789473684	0.00935789473684	0.000168421052632	0.000694736842105	0.00761052631579	0.00148421052632	0.0	0.00217894736842	0.00330526315789	0.00196842105263	0.00148421052632	0.00183157894737	0.00413684210526	0.00344210526316	0.00104210526316	0.00133684210526	0.000263157894737	0.00182105263158	0.00132631578947	0.000968421052632	0.00243157894737	0.000421052631579	0.000757894736842	0.0167368421053	0.00221052631579	0.0	0.000663157894737	6.31578947368e-05	0.00586315789474	0.000957894736842	0.000463157894737
k__Bacteria_p__Proteobacteria_c__Epsilonproteobacteria	0.0	0.0	0.0	0.0	4.21052631579e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05263157895e-05	0.0	1.05263157895e-05	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10526315789e-05	0.0	0.0	1.05263157895e-05	0.0	0.0
k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria	0.000431578947368	0.0103473684211	0.000273684210526	0.00198947368421	0.00788421052632	0.000842105263158	0.00103157894737	0.00484210526316	0.00184210526316	0.000863157894737	0.000526315789474	0.0206842105263	0.00203157894737	0.00117894736842	0.000810526315789	0.0046	0.00473684210526	0.00514736842105	0.000168421052632	0.000494736842105	0.00106315789474	0.000315789473684	0.000926315789474	0.00831578947368	0.00196842105263	0.000126315789474	0.000336842105263	0.000115789473684	0.00866315789474	0.0212105263158	0.00831578947368	0.0125684210526	0.00131578947368	0.000263157894737	0.000894736842105	0.000547368421053
k__Bacteria_p__Spirochaetes_c__[Brachyspirae]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10526315789e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Synergistetes_c__Synergistia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00642105263158	0.0	0.0	0.000115789473684	0.0	0.0	0.0	0.0	0.000757894736842	0.000989473684211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00277894736842	2.10526315789e-05	0.0
k__Bacteria_p__TM7_c__TM7-3	3.15789473684e-05	0.000242105263158	0.000126315789474	1.05263157895e-05	0.000231578947368	0.000231578947368	0.000136842105263	5.26315789474e-05	0.000684210526316	0.000305263157895	7.36842105263e-05	0.000347368421053	0.0	8.42105263158e-05	1.05263157895e-05	4.21052631579e-05	6.31578947368e-05	0.000221052631579	2.10526315789e-05	0.000105263157895	0.0002	3.15789473684e-05	0.0	0.000136842105263	0.000315789473684	0.000157894736842	5.26315789474e-05	0.0	0.000473684210526	3.15789473684e-05	0.00129473684211	3.15789473684e-05	0.000157894736842	0.000726315789474	0.000842105263158	0.000105263157895
k__Bacteria_p__Tenericutes_c__Mollicutes	0.0	6.31578947368e-05	0.0	0.0	9.47368421053e-05	0.0	0.000621052631579	1.05263157895e-05	0.000547368421053	0.0	0.0	0.0	0.000831578947368	1.05263157895e-05	0.0	0.00205263157895	0.0	0.00112631578947	0.0	0.0	0.0	0.000568421052632	0.0	0.0	0.0	0.000178947368421	0.0	0.0	0.0	0.0	0.0	0.000105263157895	0.0004	0.000210526315789	0.00676842105263	0.00192631578947
k__Bacteria_p__Tenericutes_c__RF3	0.0	0.0	0.0	0.0	4.21052631579e-05	0.0	0.0	0.0	0.000347368421053	0.0	0.0	0.0	0.0	0.0	0.0	0.00148421052632	0.0	4.21052631579e-05	1.05263157895e-05	3.15789473684e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.31578947368e-05	0.0	0.000473684210526	0.0	0.000378947368421
k__Bacteria_p__Verrucomicrobia_c__Opitutae	0.0	0.0	0.0	0.0	0.0132736842105	0.0	0.0	0.0	0.00117894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.42105263158e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Verrucomicrobia_c__Verrucomicrobiae	0.0	0.0	0.00672631578947	0.0	0.000473684210526	0.0	0.0	0.0002	0.0024	0.0240421052632	0.004	0.0	0.000136842105263	0.0	0.0	0.00238947368421	0.000231578947368	0.00178947368421	0.00595789473684	0.000210526315789	0.0	0.000673684210526	1.05263157895e-05	0.0	1.05263157895e-05	0.00211578947368	0.0	0.000252631578947	0.00711578947368	0.0	2.10526315789e-05	0.0034	0.0	0.0176842105263	0.000347368421053	3.15789473684e-05
k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales	0.0	0.00466315789474	0.000747368421053	1.05263157895e-05	0.000326315789474	0.0	0.0	0.000115789473684	0.0	1.05263157895e-05	0.0	0.0	0.00189473684211	0.0	0.0	1.05263157895e-05	0.000178947368421	0.00401052631579	5.26315789474e-05	0.00195789473684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0173578947368	0.0	0.0145368421053	1.05263157895e-05	0.0
k__Bacteria_Other_Other_Other	0.0	5.26315789474e-05	7.36842105263e-05	0.0	0.00431578947368	0.000189473684211	0.000957894736842	2.10526315789e-05	0.00276842105263	0.0004	6.31578947368e-05	0.0	0.00412631578947	2.10526315789e-05	0.00106315789474	0.00223157894737	0.000621052631579	0.00175789473684	0.00103157894737	0.000768421052632	0.000147368421053	1.05263157895e-05	2.10526315789e-05	0.000189473684211	0.0	0.000263157894737	0.0	0.000115789473684	9.47368421053e-05	0.000231578947368	0.0	0.00156842105263	0.000231578947368	0.00189473684211	0.000178947368421	0.000221052631579
k__Bacteria_p__Actinobacteria_Other_Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.15789473684e-05
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales	0.000189473684211	0.000421052631579	8.42105263158e-05	6.31578947368e-05	0.000178947368421	9.47368421053e-05	0.000168421052632	0.00141052631579	0.000315789473684	0.000431578947368	0.000273684210526	0.0002	0.000252631578947	6.31578947368e-05	0.000115789473684	0.000389473684211	0.000284210526316	0.000136842105263	9.47368421053e-05	1.05263157895e-05	0.000378947368421	0.000105263157895	6.31578947368e-05	0.000105263157895	0.000473684210526	0.000284210526316	9.47368421053e-05	0.000126315789474	0.000347368421053	0.000231578947368	0.00274736842105	0.000294736842105	0.0004	0.000421052631579	0.000431578947368	9.47368421053e-05
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales	0.00915789473684	0.00603157894737	0.0331368421053	0.000252631578947	0.00695789473684	0.00817894736842	0.00331578947368	0.0109368421053	0.00277894736842	0.00395789473684	0.0196526315789	0.0240315789474	0.000778947368421	0.0262210526316	0.00126315789474	0.00472631578947	0.0261473684211	0.00107368421053	0.0032	2.10526315789e-05	0.0827578947368	0.000515789473684	0.0687263157895	0.0249052631579	0.025	0.0213473684211	0.0462315789474	0.0126736842105	0.00475789473684	0.00597894736842	0.00486315789474	0.00931578947368	0.0365052631579	0.00727368421053	0.00453684210526	0.0632421052632
k__Bacteria_p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales	0.00149473684211	0.0342421052632	0.00421052631579	0.00109473684211	0.00876842105263	0.00844210526316	0.00832631578947	0.0148421052632	0.0114421052632	0.0181157894737	0.0191263157895	0.00724210526316	0.00556842105263	0.00157894736842	0.00225263157895	0.0143578947368	0.0118105263158	0.00396842105263	0.0110842105263	0.000715789473684	0.0334315789474	0.0103789473684	0.0198105263158	0.0199684210526	0.0282315789474	0.00228421052632	0.00617894736842	0.0115578947368	0.0284842105263	0.0413684210526	0.00111578947368	0.00570526315789	0.0158	0.0151052631579	0.00257894736842	0.0114526315789
k__Bacteria_p__Bacteroidetes_Other_Other	0.0	0.0	0.0	0.0	0.000336842105263	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.000431578947368	0.0	0.000421052631579	6.31578947368e-05	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000578947368421
k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales	0.358894736842	0.1756	0.191315789474	0.0840842105263	0.336368421053	0.156168421053	0.246610526316	0.0868210526316	0.180336842105	0.0816947368421	0.254189473684	0.287884210526	0.312084210526	0.274894736842	0.250715789474	0.199715789474	0.151357894737	0.343705263158	0.225863157895	0.377894736842	0.0527578947368	0.509452631579	0.195147368421	0.336389473684	0.0949052631579	0.0683894736842	0.163715789474	0.410894736842	0.213526315789	0.239126315789	0.184210526316	0.118547368421	0.114505263158	0.207978947368	0.0488210526316	0.273094736842
